"id","earTag","type","weight","healthStatus","birthDate","entryDate","origin","vaccinated","location"
"301","20001","goat","242.5","healthy","2023-02-21","2023-07-23","outside","1","barn3"
"302","20002","goat","271.5","healthy","2018-07-01","2025-10-26","outside","0","barn2"
"303","20003","goat","360.7","healthy","2022-09-17","2025-02-15","outside","1","chicken_coop2"
"304","20004","sheep","182.2","healthy","2024-06-20","2024-12-21","outside","1","barn1"
"305","20005","goat","150.6","healthy","2023-06-29","2025-02-09","born_in_farm","1","chicken_coop2"
"306","20006","goat","374.4","healthy","2018-09-09","2025-07-30","born_in_farm","1","barn3"
"307","20007","goat","418.2","healthy","2023-08-17","2025-05-25","outside","1","barn2"
"308","20008","cow","381.3","healthy","2018-07-17","2025-06-04","born_in_farm","1","barn2"
"309","20009","sheep","157.5","healthy","2021-08-11","2024-03-24","outside","1","barn3"
"310","20010","cow","189","healthy","2021-10-21","2025-04-07","born_in_farm","1","barn2"
"311","20011","cow","205.1","healthy","2023-04-01","2025-09-27","outside","0","chicken_coop1"
"312","20012","sheep","76.9","healthy","2024-10-07","2023-05-30","outside","0","barn1"
"313","20013","sheep","141.4","healthy","2021-04-09","2025-12-14","outside","0","barn2"
"314","20014","cow","395","healthy","2024-10-04","2024-06-13","outside","1","barn1"
"315","20015","goat","226.2","healthy","2021-03-17","2024-11-01","outside","1","barn3"
"316","20016","sheep","211.4","healthy","2021-10-17","2025-09-14","born_in_farm","0","chicken_coop2"
"317","20017","sheep","326.3","healthy","2021-03-21","2024-03-04","outside","0","barn3"
"318","20018","goat","425","healthy","2024-06-15","2024-06-16","outside","0","chicken_coop2"
"319","20019","cow","404.7","healthy","2023-01-19","2023-12-20","born_in_farm","1","barn2"
"320","20020","goat","365.8","healthy","2019-02-09","2023-07-02","born_in_farm","0","barn3"
"321","20021","sheep","434","healthy","2022-04-01","2025-09-14","outside","0","barn2"
"322","20022","goat","356.3","healthy","2024-02-10","2025-02-03","born_in_farm","0","barn3"
"323","20023","goat","79","healthy","2022-02-03","2023-07-30","born_in_farm","1","chicken_coop1"
"324","20024","sheep","394.2","healthy","2022-09-14","2025-10-19","outside","1","barn2"
"325","20025","goat","157","healthy","2022-06-10","2025-11-17","born_in_farm","0","barn1"
"326","20026","goat","91.1","healthy","2018-05-11","2024-07-29","outside","1","barn1"
"327","20027","goat","70.2","healthy","2018-10-27","2025-01-25","born_in_farm","1","barn2"
"328","20028","cow","237","healthy","2021-03-09","2025-01-05","born_in_farm","1","barn1"
"329","20029","cow","168.4","healthy","2023-03-01","2024-10-24","outside","1","chicken_coop2"
"330","20030","goat","252.4","healthy","2018-06-10","2025-04-24","outside","1","barn2"
"331","20031","cow","393.8","healthy","2024-06-10","2023-10-16","outside","1","chicken_coop2"
"332","20032","cow","105.8","healthy","2022-05-22","2024-09-20","born_in_farm","1","chicken_coop1"
"333","20033","goat","162.8","healthy","2022-10-06","2023-11-27","born_in_farm","1","chicken_coop1"
"334","20034","cow","349.6","healthy","2022-09-10","2024-11-09","born_in_farm","1","chicken_coop2"
"335","20035","goat","109.8","healthy","2021-09-24","2023-06-28","born_in_farm","1","barn2"
"336","20036","sheep","145.3","healthy","2021-06-21","2023-09-12","outside","1","barn3"
"337","20037","sheep","261.2","healthy","2020-09-08","2024-07-06","born_in_farm","1","chicken_coop1"
"338","20038","cow","346","healthy","2022-03-16","2023-10-23","outside","1","chicken_coop1"
"339","20039","sheep","364","healthy","2018-06-30","2024-12-21","born_in_farm","1","barn3"
"340","20040","cow","410.9","healthy","2022-11-01","2023-08-31","outside","1","chicken_coop1"
"341","20041","cow","51.3","healthy","2022-11-11","2024-07-18","outside","1","barn3"
"342","20042","sheep","220.7","healthy","2020-08-21","2023-07-31","outside","1","barn3"
"343","20043","cow","364.6","healthy","2023-01-28","2025-12-07","born_in_farm","0","barn2"
"344","20044","cow","256.1","healthy","2020-02-26","2026-01-29","outside","1","barn1"
